// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// 红色药水
IG_VioletBox,743,14	// 魔菇娃娃
IG_VioletBox,744,14	// 花束
IG_VioletBox,745,14	// 捧花
IG_VioletBox,746,14	// 玻璃珠
IG_VioletBox,747,14	// 水晶镜子
IG_VioletBox,748,14	// 永恒玫瑰
IG_VioletBox,749,14	// 冰雕玫瑰
IG_VioletBox,750,14	// 巴风特娃娃
IG_VioletBox,751,14	// 俄塞里斯娃娃
IG_VioletBox,752,14	// 摇滚蝗虫娃娃
IG_VioletBox,753,14	// 溜溜猴娃娃
IG_VioletBox,754,14	// 狸猫娃娃
IG_VioletBox,901,14	// 辫子
IG_VioletBox,902,14	// 树根
IG_VioletBox,903,14	// 爬虫类舌头
IG_VioletBox,904,14	// 蝎子尾巴
IG_VioletBox,905,14	// 植物梗
IG_VioletBox,906,14	// 鳞片梗
IG_VioletBox,907,14	// 枯木汁
IG_VioletBox,908,14	// 青蛙蛋
IG_VioletBox,909,14	// 杰勒比结晶
IG_VioletBox,910,14	// 加勒结晶
IG_VioletBox,911,14	// 雪勒结晶
IG_VioletBox,912,14	// 刹勒空结晶
IG_VioletBox,913,14	// 蝙蝠牙
IG_VioletBox,914,14	// 毛
IG_VioletBox,915,14	// 蛹壳
IG_VioletBox,916,14	// 羽毛
IG_VioletBox,917,14	// 鸟指甲
IG_VioletBox,918,14	// 粘糊的蹼
IG_VioletBox,919,14	// 动物外皮
IG_VioletBox,920,14	// 狼指甲
IG_VioletBox,921,14	// 香菇芽孢
IG_VioletBox,922,14	// 兽人犬齿
IG_VioletBox,923,14	// 恶魔角
IG_VioletBox,924,14	// 蝴蝶翅膀粉末
IG_VioletBox,925,14	// 鸟嘴
IG_VioletBox,926,14	// 蛇鳞
IG_VioletBox,928,14	// 昆虫触角
IG_VioletBox,929,14	// 不死心脏
IG_VioletBox,930,14	// 腐烂绷带
IG_VioletBox,931,14	// 兽人战士之证
IG_VioletBox,932,14	// 死人遗骨
IG_VioletBox,934,14	// 亡者遗物
IG_VioletBox,935,14	// 坚硬外壳
IG_VioletBox,936,14	// 鳞片皮肤
IG_VioletBox,937,14	// 毒牙
IG_VioletBox,938,14	// 粘稠液体
IG_VioletBox,939,14	// 蜂针
IG_VioletBox,940,14	// 蝗虫后腿
IG_VioletBox,941,14	// 牛鼻环
IG_VioletBox,942,14	// 猴子尾巴
IG_VioletBox,943,14	// 坚硬外皮
IG_VioletBox,944,14	// 马蹄
IG_VioletBox,945,14	// 变身叶子
IG_VioletBox,946,14	// 蜗牛壳
IG_VioletBox,947,14	// 硬角
IG_VioletBox,948,14	// 熊掌
IG_VioletBox,949,14	// 柔毛
IG_VioletBox,950,14	// 人鱼之心
IG_VioletBox,951,14	// 背鳍
IG_VioletBox,952,14	// 仙人掌刺
IG_VioletBox,953,14	// 石心
IG_VioletBox,954,14	// 发亮鳞片
IG_VioletBox,955,14	// 昆虫外壳
IG_VioletBox,956,14	// 鳃刺
IG_VioletBox,957,14	// 亡者指甲
IG_VioletBox,958,14	// 亡者牙齿
IG_VioletBox,959,14	// 腐烂鳞片
IG_VioletBox,960,14	// 钳子
IG_VioletBox,961,14	// 海螺
IG_VioletBox,962,14	// 触须
IG_VioletBox,963,14	// 锐利麟片
IG_VioletBox,964,14	// 螃蟹外壳
IG_VioletBox,965,14	// 蛤蜊外壳
IG_VioletBox,966,14	// 蛤蜊肉
IG_VioletBox,967,14	// 乌龟外壳
IG_VioletBox,968,14	// 兽人英雄之证
IG_VioletBox,969,14	// 黄金
IG_VioletBox,971,14	// 帝特立米药水
IG_VioletBox,972,14	// 卡勒波迪药水
IG_VioletBox,973,14	// 中和剂
IG_VioletBox,974,14	// 混合剂
IG_VioletBox,975,14	// 红色染料
IG_VioletBox,976,14	// 黄色染料
IG_VioletBox,978,14	// 蓝色染料
IG_VioletBox,979,14	// 绿色染料
IG_VioletBox,980,14	// 赤色染料
IG_VioletBox,981,14	// 紫色染料
IG_VioletBox,982,14	// 白色染料
IG_VioletBox,983,14	// 黑色染料
IG_VioletBox,986,14	// 铁砧
IG_VioletBox,987,14	// 神之金属铁砧
IG_VioletBox,988,14	// 黄金铁砧
IG_VioletBox,989,14	// 华丽金属铁砧
IG_VioletBox,990,14	// 火灵矿石
IG_VioletBox,991,14	// 水灵矿石
IG_VioletBox,992,14	// 风灵矿石
IG_VioletBox,993,14	// 地灵矿石
IG_VioletBox,994,14	// 火灵原石
IG_VioletBox,995,14	// 水灵原石
IG_VioletBox,996,14	// 风灵原石
IG_VioletBox,997,14	// 土灵原石
IG_VioletBox,998,14	// 铁
IG_VioletBox,999,14	// 钢铁
IG_VioletBox,1000,14	// 星星的角
IG_VioletBox,1001,14	// 星星的粉末
IG_VioletBox,1002,14	// 铁矿石
IG_VioletBox,1003,14	// 煤矿
IG_VioletBox,1004,14	// 忠诚之证
IG_VioletBox,1005,14	// 高级铁砧
IG_VioletBox,1006,14	// 古魔法书
IG_VioletBox,1007,14	// 慧眼
IG_VioletBox,1008,14	// 泯灭之心
IG_VioletBox,1009,14	// 神之手
IG_VioletBox,1010,14	// 强化武器金属-级数一
IG_VioletBox,1011,14	// 强化武器金属-级数二
IG_VioletBox,1012,14	// 伞蜥颈
IG_VioletBox,1013,14	// 彩色昆虫外壳
IG_VioletBox,1014,14	// 蚂蚁下巴
IG_VioletBox,1015,14	// 细长舌头
IG_VioletBox,1016,14	// 鼠尾
IG_VioletBox,1017,14	// 鼠须
IG_VioletBox,1018,14	// 鼠指甲
IG_VioletBox,1019,14	// 玛哪树枝
IG_VioletBox,1020,14	// 长发
IG_VioletBox,1021,14	// 土人之角
IG_VioletBox,1022,14	// 狐狸尾巴
IG_VioletBox,1023,14	// 鱼尾
IG_VioletBox,1024,14	// 墨汁
IG_VioletBox,1025,14	// 蜘蛛丝
IG_VioletBox,1026,14	// 橡实
IG_VioletBox,1027,14	// 刺猬尖刺
IG_VioletBox,1028,14	// 野猪毛
IG_VioletBox,1029,14	// 虎皮
IG_VioletBox,1031,14	// 螳螂臂
IG_VioletBox,1032,14	// 噬人树花
IG_VioletBox,1033,14	// 噬人树根
IG_VioletBox,1034,14	// 犬妖的毛
IG_VioletBox,1035,14	// 龙牙
IG_VioletBox,1036,14	// 龙鳞
IG_VioletBox,1037,14	// 龙尾
IG_VioletBox,1038,14	// 小恶魔角
IG_VioletBox,1039,14	// 小恶魔翅膀
IG_VioletBox,1040,14	// 老妖精胡须
IG_VioletBox,1041,14	// 手提灯
IG_VioletBox,1042,14	// 昆虫后脚
IG_VioletBox,1043,14	// 兽人指甲
IG_VioletBox,1044,14	// 兹诺克之牙
IG_VioletBox,1045,14	// 圣殿士面具
IG_VioletBox,1046,14	// 蝎子之钳
IG_VioletBox,1047,14	// 蛇女之首
IG_VioletBox,1048,14	// 蛇发
IG_VioletBox,1049,14	// 韩服
IG_VioletBox,1050,14	// 血管
IG_VioletBox,1051,14	// 脑管
IG_VioletBox,1052,14	// 单细胞
IG_VioletBox,1053,14	// 人鱼之牙
IG_VioletBox,1054,14	// 人鱼嘴巴
IG_VioletBox,1055,14	// 蚯蚓皮
IG_VioletBox,1056,14	// 黄玉碎片
IG_VioletBox,1057,14	// 蛾蝶翅膀粉末
IG_VioletBox,1058,14	// 蛾蝶翅膀
IG_VioletBox,1059,14	// 透明之布
IG_VioletBox,1060,14	// 金色头发
IG_VioletBox,1061,14	// 魔女之星沙
IG_VioletBox,1062,14	// 南瓜头
IG_VioletBox,1063,14	// 锐利锥子
IG_VioletBox,1064,14	// 鞭绳
IG_VioletBox,1065,14	// 设置用陷阱道具
IG_VioletBox,1066,14	// 天地树枝
IG_VioletBox,1067,14	// 智慧树枝
IG_VioletBox,1068,14	// 世界树枝
IG_VioletBox,1088,14	// 梦罗克水溶液试管
IG_VioletBox,1089,14	// 斐扬水溶液试管
IG_VioletBox,1092,14	// 空试管
IG_VioletBox,1093,14	// 空药瓶
IG_VioletBox,1094,14	// 短辫子
IG_VioletBox,1095,14	// 指针
IG_VioletBox,1096,14	// 圆形外皮
IG_VioletBox,1097,14	// 破旧书页
IG_VioletBox,1098,14	// 手铐
IG_VioletBox,1099,14	// 老旧犯人服
IG_VioletBox,1102,7	// 长剑
IG_VioletBox,1105,7	// 圆月刀
IG_VioletBox,1108,7	// 厚刃剑
IG_VioletBox,1111,7	// 击刺长剑
IG_VioletBox,1114,7	// 弯刀
IG_VioletBox,1117,7	// 武士刀
IG_VioletBox,1120,7	// 日本刀
IG_VioletBox,1124,7	// 兽人刀
IG_VioletBox,1125,7	// 圆柄马刀
IG_VioletBox,1127,7	// 骑兵之剑
IG_VioletBox,1128,7	// 海东剑
IG_VioletBox,1129,7	// 水纹之剑
IG_VioletBox,1147,1	// 汤恩剑
IG_VioletBox,1148,1	// 星尘剑
IG_VioletBox,1152,7	// 双手剑
IG_VioletBox,1155,7	// 亚尔特剑
IG_VioletBox,1158,7	// 双手巨剑
IG_VioletBox,1162,7	// 双手重剑
IG_VioletBox,1163,7	// 十字巨剑
IG_VioletBox,1202,7	// 短剑
IG_VioletBox,1205,7	// 卡特短剑
IG_VioletBox,1208,7	// 笨拙短剑
IG_VioletBox,1211,7	// 德克短剑
IG_VioletBox,1214,7	// 大驹短剑
IG_VioletBox,1217,7	// 双刃短剑
IG_VioletBox,1220,7	// 长柄短剑
IG_VioletBox,1226,7	// 大马士革短剑
IG_VioletBox,1243,7	// 初学者笨拙短剑
IG_VioletBox,1251,7	// 拳刃
IG_VioletBox,1253,7	// 卡塔勒拳刃
IG_VioletBox,1255,7	// 秘刃 暗啸
IG_VioletBox,1256,7	// 冰灵拳刃
IG_VioletBox,1257,7	// 刺藤拳刃
IG_VioletBox,1258,7	// 火灵拳刃
IG_VioletBox,1259,7	// 风灵拳刃
IG_VioletBox,1262,1	// 洛奇的指甲
IG_VioletBox,1263,1	// 邪恶拳刃
IG_VioletBox,1264,2	// 多变拳刃
IG_VioletBox,1265,1	// 血拳刃
IG_VioletBox,1269,1	// 龙之咆哮
IG_VioletBox,1271,1	// 血之泪
IG_VioletBox,1302,7	// 斧
IG_VioletBox,1304,7	// 兽人斧
IG_VioletBox,1307,1	// 希尔之斧
IG_VioletBox,1352,7	// 巨斧
IG_VioletBox,1355,7	// 钢斧
IG_VioletBox,1358,7	// 毁灭之斧
IG_VioletBox,1361,7	// 双手斧
IG_VioletBox,1370,1	// 超重双手斧
IG_VioletBox,1376,1	// 碎心斧
IG_VioletBox,1377,1	// 狂怒 飓风
IG_VioletBox,1402,7	// 长戟
IG_VioletBox,1405,7	// 长矛
IG_VioletBox,1408,7	// 步兵长矛
IG_VioletBox,1411,7	// 骑士长矛
IG_VioletBox,1452,7	// 弯刃长矛
IG_VioletBox,1455,7	// 长枪
IG_VioletBox,1458,7	// 双刃长戟
IG_VioletBox,1461,7	// 德瑞尹长戟
IG_VioletBox,1464,7	// 斧锤长矛
IG_VioletBox,1472,7	// 灵魂之杖
IG_VioletBox,1474,1	// 加野矛
IG_VioletBox,1478,1	// 锥骑长枪
IG_VioletBox,1502,7	// 木锤
IG_VioletBox,1505,7	// 铁锤
IG_VioletBox,1508,7	// 思麦斯铁锤
IG_VioletBox,1511,7	// 流星锤
IG_VioletBox,1514,7	// 日星锤
IG_VioletBox,1517,7	// 尖刃铁锤
IG_VioletBox,1520,7	// 链锤
IG_VioletBox,1522,7	// 昏迷之锤
IG_VioletBox,1550,7	// 书
IG_VioletBox,1551,7	// 圣言之书
IG_VioletBox,1552,7	// 智慧石碑
IG_VioletBox,1553,7	// 水灵之书
IG_VioletBox,1554,7	// 地灵之书
IG_VioletBox,1555,7	// 火灵之书
IG_VioletBox,1556,7	// 风灵之书
IG_VioletBox,1558,7	// 日记本
IG_VioletBox,1559,1	// 天龙的遗产
IG_VioletBox,1560,1	// 贤者的日记
IG_VioletBox,1561,1	// 精装之书
IG_VioletBox,1602,7	// 手杖
IG_VioletBox,1605,7	// 橡木魔杖
IG_VioletBox,1608,7	// 智慧魔杖
IG_VioletBox,1611,7	// 言灵魔杖
IG_VioletBox,1613,7	// 巫杖 魂咬
IG_VioletBox,1614,7	// 圣杖 英灵
IG_VioletBox,1615,7	// 骷髅魔杖
IG_VioletBox,1616,1	// 羽翼之杖
IG_VioletBox,1618,1	// 生存的魔杖
IG_VioletBox,1620,1	// 高等生存的魔杖
IG_VioletBox,1622,1	// 催眠师的魔杖
IG_VioletBox,1702,7	// 弓
IG_VioletBox,1705,7	// 坎普兹弓
IG_VioletBox,1708,7	// 克罗伊特弓
IG_VioletBox,1711,7	// 十字弓
IG_VioletBox,1715,7	// 埃布尔雷弓
IG_VioletBox,1716,7	// 角弓
IG_VioletBox,1718,7	// 猎人之弓
IG_VioletBox,1723,1	// 露娜弓
IG_VioletBox,1724,1	// 天龙之翼
IG_VioletBox,1730,1	// 灼热之弓
IG_VioletBox,1731,1	// 冰霜之弓
IG_VioletBox,1732,1	// 大地之弓
IG_VioletBox,1733,1	// 飓风之弓
IG_VioletBox,1750,14	// 箭矢
IG_VioletBox,1751,14	// 银箭矢
IG_VioletBox,1752,14	// 火箭矢
IG_VioletBox,1753,14	// 钢铁箭矢
IG_VioletBox,1754,14	// 水灵箭矢
IG_VioletBox,1755,14	// 风灵箭矢
IG_VioletBox,1756,14	// 地灵箭矢
IG_VioletBox,1757,14	// 无形箭矢
IG_VioletBox,1758,14	// 昏迷箭矢
IG_VioletBox,1759,14	// 冰冻箭矢
IG_VioletBox,1760,14	// 光芒箭矢
IG_VioletBox,1761,14	// 诅咒箭矢
IG_VioletBox,1762,14	// 铁锈箭矢
IG_VioletBox,1763,14	// 毒箭矢
IG_VioletBox,1764,14	// 锐利箭矢
IG_VioletBox,1765,14	// 神之金属箭矢
IG_VioletBox,1767,14	// 影子箭矢
IG_VioletBox,1768,14	// 睡眠箭矢
IG_VioletBox,1769,14	// 宁静箭矢
IG_VioletBox,1770,14	// 铁箭矢
IG_VioletBox,1802,7	// 虎爪拳套
IG_VioletBox,1804,7	// 钢铁拳套
IG_VioletBox,1806,7	// 贺勒拳套
IG_VioletBox,1808,7	// 升龙拳套
IG_VioletBox,1810,7	// 龙爪拳套
IG_VioletBox,1812,7	// 鹰爪拳套
IG_VioletBox,1815,1	// 卡仑的指甲
IG_VioletBox,1818,1	// 灼热拳套
IG_VioletBox,1819,1	// 冰晶拳套
IG_VioletBox,1820,1	// 雷霆拳套
IG_VioletBox,1821,1	// 大地拳套
IG_VioletBox,1822,1	// 连击拳套
IG_VioletBox,1902,7	// 小提琴
IG_VioletBox,1904,7	// 曼陀林
IG_VioletBox,1906,7	// 鲁特琴
IG_VioletBox,1908,7	// 吉他
IG_VioletBox,1910,7	// 竖琴
IG_VioletBox,1912,7	// 焚鹤琴
IG_VioletBox,1914,1	// 热情的吉他
IG_VioletBox,1915,1	// 孤独的吉他
IG_VioletBox,1916,1	// 大地的吉他
IG_VioletBox,1917,1	// 凉风的吉他
IG_VioletBox,1918,1	// 琵琶
IG_VioletBox,1919,1	// 贝斯
IG_VioletBox,1951,7	// 鞭子
IG_VioletBox,1953,7	// 细长鞭子
IG_VioletBox,1955,7	// 钢铁鞭子
IG_VioletBox,1957,7	// 流星鞭子
IG_VioletBox,1959,7	// 幸运鞭子
IG_VioletBox,1961,7	// 玛哪鞭子
IG_VioletBox,1965,1	// 火焰鞭子
IG_VioletBox,1966,1	// 冰剑鞭子
IG_VioletBox,1967,1	// 大地鞭子
IG_VioletBox,1968,1	// 跳绳
IG_VioletBox,1969,1	// 利刃之鞭
IG_VioletBox,1970,1	// 女王的鞭子
IG_VioletBox,1971,1	// 电线
IG_VioletBox,1972,1	// 电鳗
IG_VioletBox,1973,1	// 海魔女之足
IG_VioletBox,1974,1	// 胡萝卜鞭子
IG_VioletBox,2102,7	// 铁盾
IG_VioletBox,2104,7	// 圆盾
IG_VioletBox,2106,7	// 钢盾
IG_VioletBox,2108,7	// 镜盾
IG_VioletBox,2109,7	// 谎言纪录本
IG_VioletBox,2112,7	// 初学者铁盾
IG_VioletBox,2201,7	// 太阳眼镜
IG_VioletBox,2203,7	// 眼镜
IG_VioletBox,2205,7	// 泳镜
IG_VioletBox,2206,7	// 婚礼头纱
IG_VioletBox,2207,7	// 花朵头饰
IG_VioletBox,2208,7	// 紫蝶发带
IG_VioletBox,2209,7	// 紫蝶发带
IG_VioletBox,2210,7	// 发箍
IG_VioletBox,2211,7	// 方头巾
IG_VioletBox,2212,7	// 独眼龙眼罩
IG_VioletBox,2213,7	// 猫耳发圈
IG_VioletBox,2214,7	// 兔耳发圈
IG_VioletBox,2215,7	// 花发圈
IG_VioletBox,2216,7	// 圣职之帽
IG_VioletBox,2217,7	// 圣职之帽
IG_VioletBox,2218,7	// 口罩
IG_VioletBox,2220,7	// 渔夫帽
IG_VioletBox,2221,7	// 渔夫帽
IG_VioletBox,2222,7	// 圆帽
IG_VioletBox,2223,7	// 圆帽
IG_VioletBox,2224,7	// 防风皮革眼镜
IG_VioletBox,2225,7	// 防风皮革眼镜
IG_VioletBox,2226,7	// 无边帽
IG_VioletBox,2227,7	// 无边帽
IG_VioletBox,2228,7	// 金属头盔
IG_VioletBox,2229,7	// 金属头盔
IG_VioletBox,2230,7	// 宝石头盔
IG_VioletBox,2231,7	// 宝石头盔
IG_VioletBox,2232,7	// 头箍
IG_VioletBox,2233,7	// 头箍
IG_VioletBox,2236,7	// 圣诞帽
IG_VioletBox,2239,7	// 单眼眼镜
IG_VioletBox,2241,7	// 白胡须
IG_VioletBox,2242,7	// 高级太阳眼镜
IG_VioletBox,2243,7	// 旋转眼镜
IG_VioletBox,2244,7	// 红蝶发带
IG_VioletBox,2245,7	// 绅士帽
IG_VioletBox,2246,7	// 黄金帽
IG_VioletBox,2247,7	// 回忆帽
IG_VioletBox,2248,7	// 牛仔帽
IG_VioletBox,2249,1	// 黄金冠冕
IG_VioletBox,2250,7	// 粉纱发圈
IG_VioletBox,2251,7	// 神圣之帽
IG_VioletBox,2252,7	// 魔法帽
IG_VioletBox,2253,7	// 向日葵头饰
IG_VioletBox,2254,1	// 天使发圈
IG_VioletBox,2255,1	// 恶魔发圈
IG_VioletBox,2257,7	// 兽角头饰
IG_VioletBox,2258,1	// 尖角发圈
IG_VioletBox,2259,7	// 竹蜻蜓发圈
IG_VioletBox,2260,7	// 迷你眼镜
IG_VioletBox,2261,7	// 普隆德拉军帽
IG_VioletBox,2262,7	// 小丑鼻子
IG_VioletBox,2263,7	// 时髦眼罩
IG_VioletBox,2265,7	// 侍卫口罩
IG_VioletBox,2266,7	// 金属口罩
IG_VioletBox,2267,7	// 香烟
IG_VioletBox,2268,7	// 烟斗
IG_VioletBox,2269,7	// 花叶
IG_VioletBox,2270,7	// 草叶
IG_VioletBox,2271,7	// 眼镜头饰
IG_VioletBox,2274,1	// 亡者发箍
IG_VioletBox,2275,7	// 头巾
IG_VioletBox,2276,7	// 大眼睛眼镜
IG_VioletBox,2277,7	// 护士帽
IG_VioletBox,2278,7	// 笑脸面具
IG_VioletBox,2279,7	// 火线头饰
IG_VioletBox,2282,7	// 光环
IG_VioletBox,2285,7	// 苹果头饰
IG_VioletBox,2286,1	// 妖精长耳朵饰
IG_VioletBox,2287,7	// 海盗头巾
IG_VioletBox,2288,7	// 整人面具
IG_VioletBox,2289,7	// 粪便帽
IG_VioletBox,2290,7	// 葬礼帽
IG_VioletBox,2291,7	// 蝴蝶假面
IG_VioletBox,2294,7	// 星星发夹
IG_VioletBox,2295,7	// 眼罩
IG_VioletBox,2297,7	// 哥布灵面具
IG_VioletBox,2298,7	// 触角头饰
IG_VioletBox,2299,7	// 兽人头盔
IG_VioletBox,2302,7	// 棉衬衫
IG_VioletBox,2304,7	// 皮制外套
IG_VioletBox,2306,7	// 冒险衣
IG_VioletBox,2308,7	// 大衣
IG_VioletBox,2310,7	// 长大衣
IG_VioletBox,2311,7	// 毛皮大衣
IG_VioletBox,2313,7	// 铁制盔甲
IG_VioletBox,2315,7	// 钢铁锁子甲
IG_VioletBox,2317,7	// 钢铁盔甲
IG_VioletBox,2318,7	// 秘衣 美德
IG_VioletBox,2320,7	// 西装外套
IG_VioletBox,2322,7	// 丝质外袍
IG_VioletBox,2324,7	// 圣职之袍
IG_VioletBox,2326,7	// 圣职之衣
IG_VioletBox,2327,1	// 天衣 月舞
IG_VioletBox,2329,7	// 木制盔甲
IG_VioletBox,2331,7	// 紧身便衣
IG_VioletBox,2333,7	// 秘银之衣
IG_VioletBox,2334,1	// 魔法外套
IG_VioletBox,2336,7	// 盗贼之衣
IG_VioletBox,2337,7	// 忍服 血樱
IG_VioletBox,2339,7	// 三角裤
IG_VioletBox,2340,7	// 初学者胸铠
IG_VioletBox,2352,7	// 初学者忍者斗篷
IG_VioletBox,2402,7	// 轻便鞋
IG_VioletBox,2404,7	// 长靴
IG_VioletBox,2406,7	// 战士长靴
IG_VioletBox,2407,7	// 玻璃鞋
IG_VioletBox,2408,7	// 脚炼
IG_VioletBox,2409,7	// 抗魔鞋
IG_VioletBox,2411,7	// 重靴
IG_VioletBox,2414,7	// 初学者海滩鞋
IG_VioletBox,2502,7	// 连帽披肩
IG_VioletBox,2504,7	// 披肩
IG_VioletBox,2506,7	// 斗篷
IG_VioletBox,2507,7	// 伯爵斗篷
IG_VioletBox,2508,7	// 抗魔斗篷
IG_VioletBox,2510,7	// 初学者阴险披肩
IG_VioletBox,2513,1	// 薄纱围巾
