// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 红色药水
IG_BlueBox,960,12	// 钳子
IG_BlueBox,961,12	// 海螺
IG_BlueBox,962,12	// 触须
IG_BlueBox,963,12	// 锐利麟片
IG_BlueBox,964,12	// 螃蟹外壳
IG_BlueBox,965,12	// 蛤蜊外壳
IG_BlueBox,966,12	// 蛤蜊肉
IG_BlueBox,967,12	// 乌龟外壳
IG_BlueBox,968,12	// 兽人英雄之证
IG_BlueBox,969,12	// 黄金
IG_BlueBox,971,12	// 帝特立米药水
IG_BlueBox,972,12	// 卡勒波迪药水
IG_BlueBox,973,12	// 中和剂
IG_BlueBox,974,12	// 混合剂
IG_BlueBox,975,12	// 红色染料
IG_BlueBox,976,12	// 黄色染料
IG_BlueBox,978,12	// 蓝色染料
IG_BlueBox,979,12	// 绿色染料
IG_BlueBox,980,12	// 赤色染料
IG_BlueBox,981,12	// 紫色染料
IG_BlueBox,982,12	// 白色染料
IG_BlueBox,983,12	// 黑色染料
IG_BlueBox,986,12	// 铁砧
IG_BlueBox,987,12	// 神之金属铁砧
IG_BlueBox,988,12	// 黄金铁砧
IG_BlueBox,989,12	// 华丽金属铁砧
IG_BlueBox,990,12	// 火灵矿石
IG_BlueBox,991,12	// 水灵矿石
IG_BlueBox,992,12	// 风灵矿石
IG_BlueBox,993,12	// 地灵矿石
IG_BlueBox,994,12	// 火灵原石
IG_BlueBox,995,12	// 水灵原石
IG_BlueBox,996,12	// 风灵原石
IG_BlueBox,997,12	// 土灵原石
IG_BlueBox,998,12	// 铁
IG_BlueBox,999,12	// 钢铁
IG_BlueBox,1000,12	// 星星的角
IG_BlueBox,1001,12	// 星星的粉末
IG_BlueBox,1002,12	// 铁矿石
IG_BlueBox,1003,12	// 煤矿
IG_BlueBox,1004,12	// 忠诚之证
IG_BlueBox,1005,12	// 高级铁砧
IG_BlueBox,1006,12	// 古魔法书
IG_BlueBox,1007,12	// 慧眼
IG_BlueBox,1008,12	// 泯灭之心
IG_BlueBox,1009,12	// 神之手
IG_BlueBox,1010,12	// 强化武器金属-级数一
IG_BlueBox,1011,12	// 强化武器金属-级数二
IG_BlueBox,1012,12	// 伞蜥颈
IG_BlueBox,1013,12	// 彩色昆虫外壳
IG_BlueBox,1014,12	// 蚂蚁下巴
IG_BlueBox,1015,12	// 细长舌头
IG_BlueBox,1016,12	// 鼠尾
IG_BlueBox,1017,12	// 鼠须
IG_BlueBox,1018,12	// 鼠指甲
IG_BlueBox,1019,12	// 玛哪树枝
IG_BlueBox,1020,12	// 长发
IG_BlueBox,1021,12	// 土人之角
IG_BlueBox,1022,12	// 狐狸尾巴
IG_BlueBox,1023,12	// 鱼尾
IG_BlueBox,1024,12	// 墨汁
IG_BlueBox,1025,12	// 蜘蛛丝
IG_BlueBox,1026,12	// 橡实
IG_BlueBox,1027,12	// 刺猬尖刺
IG_BlueBox,1028,12	// 野猪毛
IG_BlueBox,1029,12	// 虎皮
IG_BlueBox,1031,12	// 螳螂臂
IG_BlueBox,1032,12	// 噬人树花
IG_BlueBox,1033,12	// 噬人树根
IG_BlueBox,1034,12	// 犬妖的毛
IG_BlueBox,1035,12	// 龙牙
IG_BlueBox,1036,12	// 龙鳞
IG_BlueBox,1037,12	// 龙尾
IG_BlueBox,1038,12	// 小恶魔角
IG_BlueBox,1039,12	// 小恶魔翅膀
IG_BlueBox,1040,12	// 老妖精胡须
IG_BlueBox,1041,12	// 手提灯
IG_BlueBox,1042,12	// 昆虫后脚
IG_BlueBox,1043,12	// 兽人指甲
IG_BlueBox,1044,12	// 兹诺克之牙
IG_BlueBox,1045,12	// 圣殿士面具
IG_BlueBox,1046,12	// 蝎子之钳
IG_BlueBox,1047,12	// 蛇女之首
IG_BlueBox,1048,12	// 蛇发
IG_BlueBox,1049,12	// 韩服
IG_BlueBox,1050,12	// 血管
IG_BlueBox,1051,12	// 脑管
IG_BlueBox,1052,12	// 单细胞
IG_BlueBox,1053,12	// 人鱼之牙
IG_BlueBox,1054,12	// 人鱼嘴巴
IG_BlueBox,1055,12	// 蚯蚓皮
IG_BlueBox,1056,12	// 黄玉碎片
IG_BlueBox,1057,12	// 蛾蝶翅膀粉末
IG_BlueBox,1058,12	// 蛾蝶翅膀
IG_BlueBox,1059,12	// 透明之布
IG_BlueBox,1060,12	// 金色头发
IG_BlueBox,1061,12	// 魔女之星沙
IG_BlueBox,1062,12	// 南瓜头
IG_BlueBox,1063,12	// 锐利锥子
IG_BlueBox,1064,12	// 鞭绳
IG_BlueBox,1065,12	// 设置用陷阱道具
IG_BlueBox,1066,12	// 天地树枝
IG_BlueBox,1067,12	// 智慧树枝
IG_BlueBox,1068,12	// 世界树枝
IG_BlueBox,1088,12	// 梦罗克水溶液试管
IG_BlueBox,1089,12	// 斐扬水溶液试管
IG_BlueBox,1092,12	// 空试管
IG_BlueBox,1093,12	// 空药瓶
IG_BlueBox,1094,12	// 短辫子
IG_BlueBox,1095,12	// 指针
IG_BlueBox,1096,12	// 圆形外皮
IG_BlueBox,1097,12	// 破旧书页
IG_BlueBox,1098,12	// 手铐
IG_BlueBox,1099,12	// 老旧犯人服
IG_BlueBox,1101,6	// 长剑
IG_BlueBox,1102,6	// 长剑
IG_BlueBox,1104,6	// 圆月刀
IG_BlueBox,1105,6	// 圆月刀
IG_BlueBox,1107,6	// 厚刃剑
IG_BlueBox,1108,6	// 厚刃剑
IG_BlueBox,1110,6	// 击刺长剑
IG_BlueBox,1111,6	// 击刺长剑
IG_BlueBox,1113,6	// 弯刀
IG_BlueBox,1114,6	// 弯刀
IG_BlueBox,1116,3	// 武士刀
IG_BlueBox,1117,3	// 武士刀
IG_BlueBox,1119,6	// 日本刀
IG_BlueBox,1120,6	// 日本刀
IG_BlueBox,1122,6	// 圆柄马刀
IG_BlueBox,1123,6	// 海东剑
IG_BlueBox,1124,6	// 兽人刀
IG_BlueBox,1125,6	// 圆柄马刀
IG_BlueBox,1126,6	// 骑兵之剑
IG_BlueBox,1127,6	// 骑兵之剑
IG_BlueBox,1128,6	// 海东剑
IG_BlueBox,1129,6	// 水纹之剑
IG_BlueBox,1146,1	// 汤恩剑
IG_BlueBox,1147,1	// 汤恩剑
IG_BlueBox,1148,1	// 星尘剑
IG_BlueBox,1151,3	// 双手剑
IG_BlueBox,1152,3	// 双手剑
IG_BlueBox,1154,3	// 亚尔特剑
IG_BlueBox,1155,3	// 亚尔特剑
IG_BlueBox,1157,3	// 双手巨剑
IG_BlueBox,1158,3	// 双手巨剑
IG_BlueBox,1160,3	// 双手重剑
IG_BlueBox,1162,3	// 双手重剑
IG_BlueBox,1163,3	// 十字巨剑
IG_BlueBox,1201,3	// 短剑
IG_BlueBox,1202,3	// 短剑
IG_BlueBox,1204,3	// 卡特短剑
IG_BlueBox,1205,3	// 卡特短剑
IG_BlueBox,1207,3	// 笨拙短剑
IG_BlueBox,1208,3	// 笨拙短剑
IG_BlueBox,1210,3	// 德克短剑
IG_BlueBox,1211,3	// 德克短剑
IG_BlueBox,1213,3	// 大驹短剑
IG_BlueBox,1214,3	// 大驹短剑
IG_BlueBox,1216,3	// 双刃短剑
IG_BlueBox,1217,3	// 双刃短剑
IG_BlueBox,1219,3	// 长柄短剑
IG_BlueBox,1220,3	// 长柄短剑
IG_BlueBox,1222,3	// 大马士革短剑
IG_BlueBox,1226,3	// 大马士革短剑
IG_BlueBox,1243,3	// 初学者笨拙短剑
IG_BlueBox,1245,1	// 五指剑
IG_BlueBox,1247,1	// 易燃短剑
IG_BlueBox,1248,1	// 黑曜石短剑
IG_BlueBox,1249,1	// 渔夫短剑
IG_BlueBox,1250,3	// 拳刃
IG_BlueBox,1251,3	// 拳刃
IG_BlueBox,1252,3	// 卡塔勒拳刃
IG_BlueBox,1253,3	// 卡塔勒拳刃
IG_BlueBox,1254,3	// 秘刃 暗啸
IG_BlueBox,1255,3	// 秘刃 暗啸
IG_BlueBox,1256,3	// 冰灵拳刃
IG_BlueBox,1257,3	// 刺藤拳刃
IG_BlueBox,1258,3	// 火灵拳刃
IG_BlueBox,1259,3	// 风灵拳刃
IG_BlueBox,1262,1	// 洛奇的指甲
IG_BlueBox,1263,1	// 邪恶拳刃
IG_BlueBox,1264,2	// 多变拳刃
IG_BlueBox,1265,1	// 血拳刃
IG_BlueBox,1269,1	// 龙之咆哮
IG_BlueBox,1271,1	// 血之泪
IG_BlueBox,1301,3	// 斧
IG_BlueBox,1302,3	// 斧
IG_BlueBox,1304,3	// 兽人斧
IG_BlueBox,1307,1	// 希尔之斧
IG_BlueBox,1351,3	// 巨斧
IG_BlueBox,1352,3	// 巨斧
IG_BlueBox,1354,3	// 钢斧
IG_BlueBox,1355,3	// 钢斧
IG_BlueBox,1357,3	// 毁灭之斧
IG_BlueBox,1358,3	// 毁灭之斧
IG_BlueBox,1360,3	// 双手斧
IG_BlueBox,1361,3	// 双手斧
IG_BlueBox,1370,1	// 超重双手斧
IG_BlueBox,1376,1	// 碎心斧
IG_BlueBox,1377,1	// 狂怒 飓风
IG_BlueBox,1401,9	// 长戟
IG_BlueBox,1402,9	// 长戟
IG_BlueBox,1404,9	// 长矛
IG_BlueBox,1405,9	// 长矛
IG_BlueBox,1407,9	// 步兵长矛
IG_BlueBox,1408,9	// 步兵长矛
IG_BlueBox,1410,3	// 骑士长矛
IG_BlueBox,1411,3	// 骑士长矛
IG_BlueBox,1451,3	// 弯刃长矛
IG_BlueBox,1452,3	// 弯刃长矛
IG_BlueBox,1454,3	// 长枪
IG_BlueBox,1455,3	// 长枪
IG_BlueBox,1457,3	// 双刃长戟
IG_BlueBox,1458,3	// 双刃长戟
IG_BlueBox,1460,3	// 德瑞尹长戟
IG_BlueBox,1461,3	// 德瑞尹长戟
IG_BlueBox,1463,3	// 斧锤长矛
IG_BlueBox,1464,3	// 斧锤长矛
IG_BlueBox,1472,3	// 灵魂之杖
IG_BlueBox,1474,1	// 加野矛
IG_BlueBox,1478,1	// 锥骑长枪
IG_BlueBox,1501,6	// 木锤
IG_BlueBox,1502,6	// 木锤
IG_BlueBox,1504,6	// 铁锤
IG_BlueBox,1505,6	// 铁锤
IG_BlueBox,1507,6	// 思麦斯铁锤
IG_BlueBox,1508,6	// 思麦斯铁锤
IG_BlueBox,1510,6	// 流星锤
IG_BlueBox,1511,6	// 流星锤
IG_BlueBox,1513,6	// 日星锤
IG_BlueBox,1514,6	// 日星锤
IG_BlueBox,1516,6	// 尖刃铁锤
IG_BlueBox,1517,6	// 尖刃铁锤
IG_BlueBox,1519,6	// 链锤
IG_BlueBox,1520,6	// 链锤
IG_BlueBox,1522,6	// 昏迷之锤
IG_BlueBox,1550,3	// 书
IG_BlueBox,1551,3	// 圣言之书
IG_BlueBox,1552,3	// 智慧石碑
IG_BlueBox,1553,3	// 水灵之书
IG_BlueBox,1554,3	// 地灵之书
IG_BlueBox,1555,3	// 火灵之书
IG_BlueBox,1556,3	// 风灵之书
IG_BlueBox,1558,3	// 日记本
IG_BlueBox,1559,1	// 天龙的遗产
IG_BlueBox,1560,1	// 贤者的日记
IG_BlueBox,1561,1	// 精装之书
IG_BlueBox,1601,3	// 手杖
IG_BlueBox,1602,3	// 手杖
IG_BlueBox,1604,3	// 橡木魔杖
IG_BlueBox,1605,3	// 橡木魔杖
IG_BlueBox,1607,3	// 智慧魔杖
IG_BlueBox,1608,3	// 智慧魔杖
IG_BlueBox,1610,3	// 言灵魔杖
IG_BlueBox,1611,3	// 言灵魔杖
IG_BlueBox,1613,3	// 巫杖 魂咬
IG_BlueBox,1614,3	// 圣杖 英灵
IG_BlueBox,1615,3	// 骷髅魔杖
IG_BlueBox,1616,1	// 羽翼之杖
IG_BlueBox,1617,1	// 生存的魔杖
IG_BlueBox,1618,1	// 生存的魔杖
IG_BlueBox,1619,1	// 高等生存的魔杖
IG_BlueBox,1620,1	// 高等生存的魔杖
IG_BlueBox,1621,1	// 催眠师的魔杖
IG_BlueBox,1622,1	// 催眠师的魔杖
IG_BlueBox,1701,3	// 弓
IG_BlueBox,1702,3	// 弓
IG_BlueBox,1704,3	// 坎普兹弓
IG_BlueBox,1705,3	// 坎普兹弓
IG_BlueBox,1707,3	// 克罗伊特弓
IG_BlueBox,1708,3	// 克罗伊特弓
IG_BlueBox,1710,3	// 十字弓
IG_BlueBox,1711,3	// 十字弓
IG_BlueBox,1713,3	// 埃布尔雷弓
IG_BlueBox,1714,3	// 角弓
IG_BlueBox,1715,3	// 埃布尔雷弓
IG_BlueBox,1716,3	// 角弓
IG_BlueBox,1718,3	// 猎人之弓
IG_BlueBox,1723,1	// 露娜弓
IG_BlueBox,1724,1	// 天龙之翼
IG_BlueBox,1730,1	// 灼热之弓
IG_BlueBox,1731,1	// 冰霜之弓
IG_BlueBox,1732,1	// 大地之弓
IG_BlueBox,1733,1	// 飓风之弓
IG_BlueBox,1750,12	// 箭矢
IG_BlueBox,1751,12	// 银箭矢
IG_BlueBox,1752,12	// 火箭矢
IG_BlueBox,1753,12	// 钢铁箭矢
IG_BlueBox,1754,12	// 水灵箭矢
IG_BlueBox,1755,12	// 风灵箭矢
IG_BlueBox,1756,12	// 地灵箭矢
IG_BlueBox,1757,12	// 无形箭矢
IG_BlueBox,1758,12	// 昏迷箭矢
IG_BlueBox,1759,12	// 冰冻箭矢
IG_BlueBox,1760,12	// 光芒箭矢
IG_BlueBox,1761,12	// 诅咒箭矢
IG_BlueBox,1762,12	// 铁锈箭矢
IG_BlueBox,1763,12	// 毒箭矢
IG_BlueBox,1764,12	// 锐利箭矢
IG_BlueBox,1765,12	// 神之金属箭矢
IG_BlueBox,1767,12	// 影子箭矢
IG_BlueBox,1768,12	// 睡眠箭矢
IG_BlueBox,1769,12	// 宁静箭矢
IG_BlueBox,1770,12	// 铁箭矢
IG_BlueBox,1801,3	// 虎爪拳套
IG_BlueBox,1802,3	// 虎爪拳套
IG_BlueBox,1803,3	// 钢铁拳套
IG_BlueBox,1804,3	// 钢铁拳套
IG_BlueBox,1805,3	// 贺勒拳套
IG_BlueBox,1806,3	// 贺勒拳套
IG_BlueBox,1807,3	// 升龙拳套
IG_BlueBox,1808,3	// 升龙拳套
IG_BlueBox,1809,3	// 龙爪拳套
IG_BlueBox,1810,3	// 龙爪拳套
IG_BlueBox,1811,3	// 鹰爪拳套
IG_BlueBox,1812,3	// 鹰爪拳套
IG_BlueBox,1815,1	// 卡仑的指甲
IG_BlueBox,1818,1	// 灼热拳套
IG_BlueBox,1819,1	// 冰晶拳套
IG_BlueBox,1820,1	// 雷霆拳套
IG_BlueBox,1821,1	// 大地拳套
IG_BlueBox,1822,1	// 连击拳套
IG_BlueBox,1901,3	// 小提琴
IG_BlueBox,1902,3	// 小提琴
IG_BlueBox,1903,3	// 曼陀林
IG_BlueBox,1904,3	// 曼陀林
IG_BlueBox,1905,3	// 鲁特琴
IG_BlueBox,1906,3	// 鲁特琴
IG_BlueBox,1907,3	// 吉他
IG_BlueBox,1908,3	// 吉他
IG_BlueBox,1909,3	// 竖琴
IG_BlueBox,1910,3	// 竖琴
IG_BlueBox,1911,3	// 焚鹤琴
IG_BlueBox,1912,3	// 焚鹤琴
IG_BlueBox,1914,1	// 热情的吉他
IG_BlueBox,1915,1	// 孤独的吉他
IG_BlueBox,1916,1	// 大地的吉他
IG_BlueBox,1917,1	// 凉风的吉他
IG_BlueBox,1918,1	// 琵琶
IG_BlueBox,1919,1	// 贝斯
IG_BlueBox,1950,3	// 鞭子
IG_BlueBox,1951,3	// 鞭子
IG_BlueBox,1952,3	// 细长鞭子
IG_BlueBox,1953,3	// 细长鞭子
IG_BlueBox,1954,3	// 钢铁鞭子
IG_BlueBox,1955,3	// 钢铁鞭子
IG_BlueBox,1956,3	// 流星鞭子
IG_BlueBox,1957,3	// 流星鞭子
IG_BlueBox,1958,3	// 幸运鞭子
IG_BlueBox,1959,3	// 幸运鞭子
IG_BlueBox,1960,3	// 玛哪鞭子
IG_BlueBox,1961,3	// 玛哪鞭子
IG_BlueBox,1965,1	// 火焰鞭子
IG_BlueBox,1966,1	// 冰剑鞭子
IG_BlueBox,1967,1	// 大地鞭子
IG_BlueBox,1968,1	// 跳绳
IG_BlueBox,1969,1	// 利刃之鞭
IG_BlueBox,1970,1	// 女王的鞭子
IG_BlueBox,1971,1	// 电线
IG_BlueBox,1972,1	// 电鳗
IG_BlueBox,1973,1	// 海魔女之足
IG_BlueBox,1974,1	// 胡萝卜鞭子
IG_BlueBox,2101,3	// 铁盾
IG_BlueBox,2102,3	// 铁盾
IG_BlueBox,2103,3	// 圆盾
IG_BlueBox,2104,3	// 圆盾
IG_BlueBox,2105,3	// 钢盾
IG_BlueBox,2106,3	// 钢盾
IG_BlueBox,2107,3	// 镜盾
IG_BlueBox,2108,3	// 镜盾
IG_BlueBox,2109,3	// 谎言纪录本
IG_BlueBox,2112,3	// 初学者铁盾
IG_BlueBox,2113,1	// 初学者钢盾
IG_BlueBox,2123,1	// 奥尔里昂的铁盘
IG_BlueBox,2124,1	// 刺盾
IG_BlueBox,2125,1	// 坚固盾牌
IG_BlueBox,2201,3	// 太阳眼镜
IG_BlueBox,2203,3	// 眼镜
IG_BlueBox,2205,3	// 泳镜
IG_BlueBox,2206,3	// 婚礼头纱
IG_BlueBox,2207,3	// 花朵头饰
IG_BlueBox,2208,3	// 紫蝶发带
IG_BlueBox,2209,3	// 紫蝶发带
IG_BlueBox,2210,3	// 发箍
IG_BlueBox,2211,3	// 方头巾
IG_BlueBox,2212,3	// 独眼龙眼罩
IG_BlueBox,2213,3	// 猫耳发圈
IG_BlueBox,2214,3	// 兔耳发圈
IG_BlueBox,2215,3	// 花发圈
IG_BlueBox,2216,3	// 圣职之帽
IG_BlueBox,2217,3	// 圣职之帽
IG_BlueBox,2218,3	// 口罩
IG_BlueBox,2220,3	// 渔夫帽
IG_BlueBox,2221,3	// 渔夫帽
IG_BlueBox,2222,3	// 圆帽
IG_BlueBox,2223,3	// 圆帽
IG_BlueBox,2224,3	// 防风皮革眼镜
IG_BlueBox,2225,3	// 防风皮革眼镜
IG_BlueBox,2226,3	// 无边帽
IG_BlueBox,2227,3	// 无边帽
IG_BlueBox,2228,3	// 金属头盔
IG_BlueBox,2229,3	// 金属头盔
IG_BlueBox,2230,3	// 宝石头盔
IG_BlueBox,2231,3	// 宝石头盔
IG_BlueBox,2232,3	// 头箍
IG_BlueBox,2233,3	// 头箍
IG_BlueBox,2236,3	// 圣诞帽
IG_BlueBox,2239,3	// 单眼眼镜
